commune_name,province_id
Bondokuy,1
Dédougou,1
Douroula,1
Kona,1
Ouarkoye,1
Safané,1
Tchériba,1
Bagassi,2
Bana,2
Boromo,2
Fara,2
Pa,2
Pompoï,2
Poura,2
Oury,2
Siby,2
Yaho,2
Balavé,3
Kouka,3
Sami,3
Sanaba,3
Solenzo,3
Tansila,3
Gbondjigui,4
Diébougou,4
Dolo,4
Nioronioro,4
Tiankoura,4
Dano,5
Dissihn,5
Guéguéré,5
Koper,5
Niégo,5
Oronkua,5
Ouéssa,5
Zambo,5
Batié,6
Boussoukoula,6
Kpéré,6
Legmoin,6
Midebdo,6
Bouroum-Bouroum,7
Bousséra,7
Djigouè,7
Gaoua,7
Gbomblora,7
Kampti,7
Loropéni,7
Malba,7
Nako,7
Périgban,7
Diabo,8
Diapangou,8
Fada N’Gourma,8
Matiacoali,8
Tibga,8
Yamba,8
Kompienga,9
Pama,9
Madjoari,9
Bama,10
Bobo-Dioulasso,10
Dandé,10
Karangasso-Sambla,10
Karangasso-Viguè,10
Koundougou,10
Faramana,10
Fô,10
Léna,10
Padéma,10
Péni,10
Satiri,10
Toussiana,10
Banzon,11
Djigouèra,11
Kangala,11
Kayan,11
Koloko,11
Kourouma,11
Kourinion,11
Morolaba,11
N’Dorola,11
Orodara,11
Samôgôyiri,11
Samorogouan,11
Sindo,11
Békuy,12
Béréba,12
Boni,12
Founzan,12
Houndé,12
Koti,12
Koumbia,12
Ouagadougou,13
Komki-lpala,13
Komsilga,13
Koubri,13
Pabré,13
Saaba,13
Tanghin-Dassouri,13
Bourzanga,14
Guibaré,14
Kongoussi,14
Nasséré,14
Tikaré,14
Sabcé,14
Rollo,14
Rouko,14
Zimtenga,14
Boala,15
Boulsa,15
Bouroum,15
Dargo,15
Tougouri,15
Nagbingou,15
Yalgo,15
Zéguédéguin,15
Barsalogho,16
Boussouma,16
Dablo,16
Kaya,16
Korsimoro,16
Mané,16
Namissiguima,16
Pensa,16
Pibaoré,16
Pissila,16
Ziga,16
Déou,17
Gorom-Gorom,17
Markoye,17
Oursi,17
Tinakoff,17
Bani,18
Dori,18
Falangountou,18
Gorgadji,18
Sampelga,18
Seytenga,18
Boundoré,19
Mansila,19
Sebba,19
Solhan,19
Tankougounadié,19
Titabé,19
Bagré,20
Bané,20
Béguédo,20
Bittou,20
Bissiga,20
Boussouma,20
Garango,20
Komtoèga,20
Niaogho,20
Tenkodogo,20
Zabré,20
Zoaga,20
Zonsé,20
Comin-Yanga,21
Dourtenga,21
Lalgaye,21
Ouargaye,21
Sangha,21
Soudougui,21
Yargatenga,21
Yondé,21
Andemtenga,22
Baskouré,22
Dialgaye,22
Gounghin,22
Kando,22
Koupèla,22
Pouytenga,22
Tansobentenga,22
Yargo,22
Bingo,23
Imasgo,23
Kindi,23
Kokologo,23
Koudougou,23
Nanoro,23
Nandiala,23
Pella,23
Poa,23
Ramongo,23
Sabou,23
Siglé,23
Soaw,23
Sourgou,23
Thiou,23
Dassa,24
Didyr,24
Godyr,24
Kordié,24
Kyon,24
Pouni,24
Réo,24
Ténado,24
Zamo,24
Zawara,24
Biéha,25
Boura,25
Léo,25
Nébiélianayou,25
Niambouri,25
Silly,25
Tô,25
Bakata,26
Bougnounou,26
Dalô,26
Gaô,26
Kassou,26
Sapouy,26
Doulougou,27
Gaongo,27
Ipelcé,27
Kayao,27
Kombissiri,27
Saponé,27
Toécé,27
Guiaro,28
Pô,28
Tiébélé,28
Zecco,28
Ziou,28
Béré,29
Bindé,29
Gogo,29
Gomboussougou,29
Guiba,29
Manga,29
Nobéré,29
Absouya,30
Dapélogo,30
Loumbila,30
Nagréongo,30
Ourgou-Manega,30
Ziniaré,30
Zitenga,30
Boudry,31
Kogho,31
Méguet,31
Mogtédo,31
Salogo,31
Zam,31
Zorgho,31
Zoungou,31
Boussé,32
Laye,32
Niou,32
Sourgoubila,32
Toéghin,32
Bilanga,33
Bogandé,33
Coalla,33
Liptougou,33
Mani,33
Pièla,33
Thion,33
Bartiébougou,34
Gayéri,34
Foutouri,34
Baraboulé,35
Diguel,35
Djibo,35
Kelbo,35
Nassoumbou,35
Pobé-Mengao,35
Tongomayel,35
Arbinda,36
Koutougou,36
Barani,37
Bomborokuy,37
Bourasso,37
Djibasso,37
Dokuy,37
Doumbala,37
Kombori,37
Madouba,37
Nouna,37
Sono,37
Gassan,38
Gossina,38
Kougny,38
Toma,38
Yaba,38
Yé,38
Di,39
Gomboro,39
Kassoum,39
Kiembara,39
Lanfièra,39
Lankoué,39
Toéni,39
Tougan,39
Banfora,40
Bérégadougou,40
Mangodara,40
Moussodougou,40
Niangoloko,40
Ouô,40
Sidéradougou,40
Soubakaniédougou,40
Tiéfora,40
Dakôrô,41
Douna,41
Kankalaba,41
Loumana,41
Niankôrôdougou,41
Ouéléni,41
Sindou,41
Wolonkoto,41
Botou,42
Kantchari,42
Diapaga,43
Logobou,43
Namounou,43
Partiaga,43
Tambaga,43
Tansarga,43
Banh,44
Ouindigui,44
Titao,44
Sollé,44
Arbollé,45
Bagaré,45
Bokin,45
Gompomsom,45
Kirsi,45
La-Todem,45
Pilimpikou,45
Samba,45
Yako,45
Barga,46
Kalsaka,46
Kaïn,46
Kossouka,46
Koumbri,46
Namissiguima,46
Ouahigouya,46
Oula,46
Rambo,46
Séguénéga,46
Tangaye,46
Thiou,46
Zogoré,46
Bassi,47
Boussou,47
Gourcy,47
Léba,47
Tougo,47
