id,province_name,region_id
1,Mouhoun,1
2,Balé,1
3,Bamwa,1
4,Bougouriba,2
5,Ioba,2
6,Noumbiel,2
7,Poni,2
8,Gourma,3
9,Kompienga,3
10,Houet,4
11,Kénédougou,4
12,Tuy,4
13,Kadiogo,5
14,Bam,6
15,Namentenga,6
16,Sandbondtenga,6
17,Oudalan,7
18,Séno,7
19,Yagha,7
20,Boulgou,8
21,Koulpelogo,8
22,Kourittenga,8
23,Boulkiemdé,9
24,Sanguié,9
25,Sissili,9
26,Ziro,9
27,Bazèga,10
28,Nahouri,10
29,Zoundwéogo,10
30,Bassitenga,11
31,Ganzourgou,11
32,Kourwéogo,11
33,Gnagna,12
34,Komondjari,12
35,Djelgodji,13
36,Karo-Peli,13
37,Koosin,14
38,Nayala,14
39,Sourou,14
40,Comoé,15
41,Léraba,15
42,Dyamongou,16
43,Gobnangou,16
44,Loroum,17
45,Passoré,17
46,Yatenga,17
47,Zondoma,17
